"year_f","age","age_f","period","sex","n","mean_yday","sd_yday","mean_fl","sd_fl","se_fl","up","lo"
"1937","53","5[3]","Gilbert-Clemens","female",507,205.169625246548,12.5661421807141,601.313609467456,23.325635022416,1.0359278199393,603.344027994537,599.283190940375
"1937","53","5[3]","Gilbert-Clemens","male",505,203.451485148515,12.4907157097082,621.510891089109,25.8859751702328,1.15191077634564,623.768636210746,619.253145967471
"1937","63","6[3]","Gilbert-Clemens","female",42,217.595238095238,9.10121815435426,659.166666666667,31.7028248850328,4.89185208302214,668.75469674939,649.578636583943
"1937","63","6[3]","Gilbert-Clemens","male",54,218.277777777778,9.8122308479691,688.462962962963,32.3575035554077,4.40329850339119,697.09342802961,679.832497896316
"1938","42","4[2]","Gilbert-Clemens","female",139,212.820143884892,11.7104262961311,580.460431654676,25.6363267471704,2.17444485446085,584.72234356942,576.198519739933
"1938","42","4[2]","Gilbert-Clemens","male",142,210.838028169014,10.4973061886876,596.345070422535,25.0771987572922,2.10443177154205,600.469756694758,592.220384150313
"1938","52","5[2]","Gilbert-Clemens","female",27,211.333333333333,10.4070981694079,614.814814814815,30.9304891117996,5.95257540495477,626.481862608526,603.147767021103
"1938","52","5[2]","Gilbert-Clemens","male",29,215.068965517241,11.4390653791631,645.137931034483,47.3435197993883,8.79147091963936,662.369214036976,627.90664803199
"1938","53","5[3]","Gilbert-Clemens","female",573,219.987783595113,11.3340037369119,604.703315881326,23.6966391239122,0.989941301139336,606.64360083156,602.763030931093
"1938","53","5[3]","Gilbert-Clemens","male",391,216.856777493606,12.0068334752193,623.716112531969,26.4483768340618,1.3375519084571,626.337714272545,621.094510791393
"1938","63","6[3]","Gilbert-Clemens","female",29,220.344827586207,10.9096152284807,643.758620689655,36.6007954367249,6.79659708617174,657.079950978552,630.437290400759
"1938","63","6[3]","Gilbert-Clemens","male",43,215.139534883721,11.5502657057643,659.302325581395,30.6901061176158,4.68019730629234,668.475512301728,650.129138861062
"1939","42","4[2]","Gilbert-Clemens","female",100,199.66,10.4979266832296,599.44,21.5656479549577,2.15656479549577,603.666866999172,595.213133000828
"1939","42","4[2]","Gilbert-Clemens","male",102,200.519607843137,9.86516061217942,617.156862745098,23.648308125295,2.34153141858162,621.746264325518,612.567461164678
"1939","52","5[2]","Gilbert-Clemens","female",93,197.408602150538,11.55538323555,639.860215053763,22.013134121844,2.28265567339743,644.334220173622,635.386209933905
"1939","52","5[2]","Gilbert-Clemens","male",99,197.707070707071,10.7307041110749,667.10101010101,27.7177814251529,2.7857418487368,672.561064124534,661.640956077486
"1939","53","5[3]","Gilbert-Clemens","female",519,205.585741811175,13.1085411227048,627.435452793834,20.2550145213434,0.889096457701831,629.17808185093,625.692823736739
"1939","53","5[3]","Gilbert-Clemens","male",443,204.939051918736,13.390865597565,646.717832957111,22.3783654977776,1.06322823122565,648.801760290313,644.633905623908
"1939","63","6[3]","Gilbert-Clemens","female",37,216.405405405405,12.9302819842489,658.162162162162,32.1709958343377,5.28887913576998,668.528365268271,647.795959056053
"1939","63","6[3]","Gilbert-Clemens","male",58,211.879310344828,13.5310916640637,692.844827586207,29.6729552121521,3.896249901314,700.481477392782,685.208177779631
"1940","42","4[2]","Gilbert-Clemens","female",163,196.59509202454,11.3096910464236,608.478527607362,24.9701889972707,1.95581614702866,612.311927255538,604.645127959186
"1940","42","4[2]","Gilbert-Clemens","male",151,196.251655629139,10.5705367527207,636.337748344371,25.6553795313234,2.08780517679848,640.429846490896,632.245650197846
"1940","52","5[2]","Gilbert-Clemens","female",45,198.622222222222,9.72879719952549,662.133333333333,35.7380622153621,5.32751576651109,672.575264235695,651.691402430972
"1940","52","5[2]","Gilbert-Clemens","male",64,196.265625,8.95534280095071,697.5,30.3063721101057,3.78829651376321,704.925061166976,690.074938833024
"1940","53","5[3]","Gilbert-Clemens","female",448,206.825892857143,10.4329562628351,649.950892857143,25.211628635223,1.19113749135205,652.285522340193,647.616263374093
"1940","53","5[3]","Gilbert-Clemens","male",420,204.714285714286,10.8693383512991,673.45,24.1699407981517,1.1793723494039,675.761569804832,671.138430195168
"1940","63","6[3]","Gilbert-Clemens","female",43,204.093023255814,8.29174561863834,694.883720930233,18.0794665196336,2.75709279662031,700.287622811608,689.479819048857
"1940","63","6[3]","Gilbert-Clemens","male",90,202.733333333333,8.59945124980384,726.177777777778,28.8703330399513,3.04320030712863,732.14245037975,720.213105175806
"1941","42","4[2]","Gilbert-Clemens","female",302,197.913907284768,12.5085700308744,594.940397350993,20.0847810313548,1.15574927543725,597.20566593085,592.675128771136
"1941","42","4[2]","Gilbert-Clemens","male",277,198.841155234657,11.7314470903853,620.85559566787,19.8811891126154,1.19454488188734,623.196903636369,618.514287699371
"1941","52","5[2]","Gilbert-Clemens","female",64,206.53125,16.4760227420584,634.75,20.5000967864537,2.56251209830671,639.772523712681,629.727476287319
"1941","52","5[2]","Gilbert-Clemens","male",54,205.611111111111,15.8440711685781,670.518518518518,22.8850620643321,3.11426248830765,676.622472995601,664.414564041435
"1941","53","5[3]","Gilbert-Clemens","female",449,212.973273942094,13.6474813943512,622.62583518931,19.1615046284096,0.904287313203526,624.398238323188,620.853432055431
"1941","53","5[3]","Gilbert-Clemens","male",379,214.53562005277,14.2526586333852,648.176781002639,19.6259435571927,1.0081170050173,650.152690332473,646.200871672805
"1941","63","6[3]","Gilbert-Clemens","female",11,219.636363636364,9.73932982573983,668.181818181818,22.8946202493869,6.90298773498994,681.711674142398,654.651962221238
"1941","63","6[3]","Gilbert-Clemens","male",45,218.244444444444,12.9213627826795,696.866666666667,30.5611161147923,4.55578220672932,705.795999791856,687.937333541477
"1942","42","4[2]","Gilbert-Clemens","female",161,201.801242236025,13.1314602557067,595.645962732919,22.9973938572092,1.81244854152457,599.198361874307,592.093563591531
